Feature,Importance,CumSumImportance
PAV_ThisSidePriceAt_50_10,0.0028917096,0.5936354
LHD_OppSideInsertedVolume_0_1,0.002872999,0.5965084
LHD_ThisSideInsertedVolume_0_100000,0.0028016681,0.59931004
LORS_ThisSideUniqueCnt_0,0.0028001165,0.60211015
PAV_OppSidePriceAt_500_10000,0.0027801876,0.60489035
LS_ThisSideTotalVolume_4,0.002762125,0.6076525
PT_OppSideTopTradedVolume_100,0.0027097051,0.6103622
LSD_ThisSideTotalOrders_0_1000,0.0026986669,0.61306083
FFL_TotalBFlips_10000,0.0026903125,0.61575115
LHD_OppSideInsertedVolume_1_100000,0.0026690483,0.6184202
LS_ThisSideLevelAge_1,0.0026674885,0.6210877
LSD_ThisSideTotalVolume_1_1,0.0026546502,0.62374234
PT_TradedPriceVar_2000,0.0026403635,0.6263827
LSD_ThisSideTotalOrders_1_10,0.0026319674,0.6290147
LORS_ThisSideVolCumQuarts_0_1,0.0026195052,0.6316342
PAV_OppSidePriceAt_200_10000,0.0026117659,0.63424593
LS_ThisSideTotalOrders_1,0.0025768843,0.6368228
LHD_ThisSidePulledVolume_0_100000,0.0025731435,0.63939595
LS_ThisSideLevelAge_0,0.0024838215,0.6418798
PT_TradedPriceVar_25000,0.0024817456,0.64436156
LSD_OppSideTotalOrders_0_1000000,0.0024630665,0.6468246
PAV_OppSidePriceAt_10_10,0.0024541938,0.6492788
LORS_OppSideVolQuarts_3_1,0.0024079415,0.6516868
LHD_ThisSidePulledVolume_1_1,0.0023993137,0.6540861
LHD_ThisSideInsertedVolume_1_1000000,0.0023731773,0.6564593
PT_ThisSideTopTradedVolume_1,0.0023728036,0.6588321
PAV_ThisSidePriceAt_500_100,0.0023415373,0.6611736
LSD_ThisSideTotalVolume_1_1000000,0.002271653,0.66344523
LHD_OppSidePulledVolume_1_1000,0.0022443116,0.6656895
LORS_OppSideVolQuarts_0_0,0.0022334948,0.66792303
LSD_ThisSideTotalOrders_0_1000000,0.0022245995,0.67014766
PT_ThisSideTradedVolume_1000,0.0021926528,0.67234033
LHD_OppSideInsertedVolume_0_1000,0.0021853715,0.6745257
LSD_OppSideTotalVolume_1_1000,0.0021580823,0.6766838
PAV_ThisSidePriceAt_500_10000,0.0021526583,0.67883646
LH_ThisSideInsertedVolume_1,0.0021438038,0.68098027
LHD_ThisSidePulledVolume_1_100,0.0021381616,0.6831184
PT_ThisSideTopTradedVolume_10000,0.002137755,0.6852562
LHD_ThisSideInsertedVolume_0_1000,0.0021370102,0.6873932
PAV_OppSidePriceAt_10_10000,0.0021083,0.68950146
LHD_OppSidePulledVolume_0_100000,0.0021032742,0.69160473
LHD_ThisSidePulledVolume_1_10,0.0021012672,0.693706
LSD_OppSideTotalVolume_0_1000,0.002090116,0.6957961
LS_ThisSideLevelAge_4,0.0020829136,0.69787896
LHD_OppSidePulledVolume_1_100000,0.0020758458,0.6999548
LHD_OppSidePulledVolume_0_100,0.0020737548,0.7020286
LHD_ThisSideInsertedVolume_0_1,0.0020622555,0.70409083
LSD_ThisSideTotalOrders_1_10000,0.0020411008,0.70613194
LHD_OppSideInsertedVolume_1_10000,0.0020243374,0.7081563
LHD_ThisSidePulledVolume_0_1000000,0.0020231018,0.7101794
LORS_OppSideUniqueSum_1,0.0020140586,0.7121934
LHD_ThisSideInsertedVolume_1_10000,0.0019974408,0.71419084
LH_ThisSideInsertedVolume_0,0.0019953768,0.7161862
PAV_ThisSidePriceAt_200_1000000,0.001969565,0.7181558
PAV_OppSidePriceAt_10_1,0.001955947,0.7201117
LHD_OppSideInsertedVolume_1_10,0.0019459525,0.7220577
LSD_ThisSideTotalOrders_0_1,0.0019434688,0.72400117
LHD_OppSidePulledVolume_1_100,0.0019418178,0.72594297
PT_TradedPriceVar_0.1,0.0019260432,0.72786903
PAV_ThisSidePriceAt_500_1000,0.0019244369,0.7297935
LH_OppSidePulledVolume_3,0.0019051023,0.7316986
LHD_OppSidePulledVolume_1_10000,0.0019041485,0.7336027
PAV_OppSidePriceAt_200_1000000,0.0019031956,0.7355059
PT_OppSideTopTradedVolume_10000,0.001900513,0.7374064
PAV_OppSidePriceAt_500_1000,0.0018936995,0.7393001
PAV_OppSidePriceAt_500_100000,0.0018861183,0.7411862
LS_OppSideLevelAge_3,0.0018751174,0.7430613
LHD_ThisSideInsertedVolume_0_10000,0.001875109,0.7449364
LHD_ThisSideInsertedVolume_1_10,0.0018652071,0.7468016
LSD_OppSideTotalOrders_1_100,0.0018362199,0.74863786
PT_ThisSideTradedVolume_100000,0.0018321141,0.75047
LORS_ThisSideTimestampQuarts_3_0,0.0018073635,0.7522774
LHD_ThisSidePulledVolume_0_1000,0.0018069149,0.7540843
PT_ThisSideTradedVolume_1000000,0.0018028736,0.75588715
LS_ThisSideLevelAge_2,0.0017864589,0.7576736
LH_ThisSideMaxVolumeRatio_1,0.001785886,0.7594595
PT_ThisSideTopTradedVolume_100,0.0017831174,0.7612426
FFL_BFratio_1000,0.0017775643,0.7630202
LS_OppSideLevelAge_1,0.0017681784,0.7647884
LH_OppSideMaxVolumeRatio_0,0.0017519636,0.76654035
LSD_OppSideTotalVolume_0_100,0.0017434702,0.76828384
LORS_ThisSideUniqueSum_0,0.0017430445,0.77002686
LSD_ThisSideTotalOrders_1_100,0.0017396561,0.77176654
LSD_OppSideTotalOrders_1_1000,0.0017358927,0.7735024
PT_OppSideTopTradedVolume_10,0.0017152748,0.7752177
FFL_TotalFlips_100000,0.0017044569,0.77692217
LORS_ThisSideVolCumQuarts_1_1,0.0017020704,0.77862424
FFL_TotalFlips_10,0.0016988835,0.78032315
LSD_OppSideTotalOrders_1_10,0.0016903469,0.7820135
LORS_ThisSideVolCumQuarts_2_1,0.0016832654,0.7836968
FFL_TotalBFlips_10,0.0016815483,0.78537834
LORS_OppSideVolQuarts_3_0,0.0016747734,0.7870531
PAV_ThisSidePriceAt_200_10000,0.0016712424,0.78872436
PT_TradedPriceVar_0,0.0016676746,0.79039204
PAV_OppSidePriceAt_25_1000,0.0016555223,0.79204756
PAV_ThisSidePriceAt_100_1,0.0016480578,0.7936956
FFL_TotalFlips_1000000,0.0016480036,0.79534364
LHD_OppSideInsertedVolume_0_10,0.0016284196,0.79697204
PT_OppSideTradedVolume_1000000,0.0016246159,0.7985967
PAV_ThisSidePriceAt_500_100000,0.0016212476,0.8002179
LORS_OppSideVolCumQuarts_0_0,0.0016133238,0.80183125
LSD_OppSideTotalOrders_0_1000,0.0016028404,0.8034341
LHD_ThisSideInsertedVolume_0_100,0.0015889946,0.8050231
LHD_OppSideInsertedVolume_0_100,0.0015838207,0.8066069
LSD_OppSideTotalOrders_0_100000,0.0015835698,0.80819046
LSD_ThisSideTotalOrders_0_10000,0.0015482004,0.80973864
LSD_ThisSideTotalVolume_0_1000,0.0015419519,0.8112806
LSD_OppSideTotalVolume_1_10000,0.0015389071,0.81281954
LORS_OppSideUniqueCnt_1,0.0015361283,0.8143557
LORS_OppSideTimestampQuarts_3_0,0.0015274753,0.81588316
LORS_OppSideTimestampQuarts_0_0,0.0015216145,0.81740475
LSD_ThisSideTotalOrders_0_100,0.0015147532,0.8189195
FFL_TotalFlips_1000,0.0015120916,0.8204316
FFL_TotalBFlips_1000,0.0015091819,0.8219408
PAV_ThisSidePriceAt_500_1000000,0.0015033259,0.8234441
LS_ThisSideLevelAge_3,0.0014890431,0.8249332
LS_ThisSideTotalOrders_4,0.0014662953,0.82639945
LHD_OppSideInsertedVolume_0_100000,0.0014612617,0.8278607
PAV_ThisSidePriceAt_25_100,0.0014475662,0.8293083
LSD_OppSideTotalOrders_0_10,0.0014469072,0.8307552
LS_ThisSideTotalVolume_3,0.0014466937,0.83220184
PAV_OppSidePriceAt_200_1,0.0014463841,0.8336482
LH_ThisSidePulledVolume_0,0.0014444372,0.83509266
LSD_ThisSideTotalOrders_0_100000,0.001442378,0.83653504
LH_ThisSideMaxVolumeRatio_2,0.0014329931,0.83796805
LHD_ThisSidePulledVolume_1_10000,0.0014327244,0.83940077
LORS_ThisSideVolQuarts_2_0,0.0014269691,0.84082776
LS_OppSideTotalOrders_2,0.0014197963,0.84224755
LHD_OppSideInsertedVolume_1_1000,0.0014183688,0.8436659
LHD_ThisSidePulledVolume_0_100,0.0014176748,0.8450836
PAV_ThisSidePriceAt_200_1,0.0014122739,0.84649587
LS_OppSideTotalVolume_4,0.0014057592,0.84790164
PAV_ThisSidePriceAt_200_100000,0.0014020245,0.84930366
FFL_TotalFlips_1,0.0013944042,0.85069805
FFL_TotalFlips_100,0.0013934263,0.8520915
LS_ThisSideTotalVolume_2,0.0013931405,0.85348463
PT_ThisSideFurthestPrice_100000,0.0013914526,0.8548761
LS_ThisSideNewOrderAge_2,0.0013833962,0.8562595
PAV_ThisSidePriceAt_25_1000,0.0013594943,0.85761905
LORS_OppSideTimestampQuarts_2_0,0.0013503768,0.85896945
PAV_OppSidePriceAt_25_1,0.0013454597,0.8603149
LS_OppSideTotalOrders_1,0.0013437337,0.86165863
PAV_OppSidePriceAt_50_100,0.0013395274,0.8629982
LS_ThisSideTotalOrders_2,0.0013350924,0.8643333
LS_OppSideNewOrderAge_1,0.0013266392,0.8656599
LORS_OppSideVolCumQuarts_1_0,0.0013250284,0.8669849
LSD_ThisSideTotalOrders_1_1000,0.0013187007,0.8683036
PAV_OppSidePriceAt_200_100000,0.001307756,0.8696114
LS_OppSideTotalVolume_3,0.0012903049,0.8709017
